v1,Clique_v1,ICI_v1,SHAP_v1,LIME_v1,z2
0.8592321856342957,0.5192786626370071,0.5219910207818679,0.3863922410157282,0.5066746301611831,True
-0.3672488908364282,0.5213119801015914,0.4,-0.44498256707059214,-0.4642875301672737,True
-0.6321623766458111,0.5201631284327405,0.56,-0.4449746821153353,-0.495272318969234,True
-0.5908794428939206,0.00010531287077425205,0.32,-0.16455853782810434,-0.47259932436159924,False
0.1354500581633733,0.5142537973814171,0.47600732101781856,0.39565523220845655,0.4819487099804187,True
0.1910894059585031,6.349878410009221e-07,0.38125111575498377,0.1699244666715483,0.43749652281963297,False
0.9290290394712433,2.1949741622552353e-07,0.3199999961435316,0.15296429380116194,0.46835316496343976,False
0.30635419374314177,-5.7236822178515266e-06,0.19999464783132562,0.1703683409484375,0.46503511776468226,False
0.4978132750678237,0.47993963296570735,0.2790576120890802,0.3878268155585105,0.47510425202216916,True
0.3071397417034707,0.5199943407166573,0.3811351509966005,0.38708433393305053,0.49111592173101715,True
0.49542961854254775,0.5199995543154392,0.4400022111002434,0.39199900563706447,0.47197272600764795,True
0.9226134721456427,0.1896737308723081,0.47655488402261215,0.3836707856707541,0.4617649859232679,True
-0.983223404116893,0.47999603318670375,0.4,-0.4240311684304152,-0.500502998568871,True
-0.7871112466045613,0.4800916996347075,0.4,-0.43150066259008996,-0.4902990590924316,True
-0.4025925724612369,0.47983703600276684,0.24,-0.4155423807194599,-0.49372248465219387,True
0.31282236616453996,0.5205934274040291,0.4343729914066759,0.4172673185283968,0.43832020476503947,True
0.6196251050818695,0.5199990530727465,0.4126487851594633,0.38655582350462436,0.4551131539720758,True
0.7443518274485661,0.5200018429096448,0.32054034827221156,0.40352961878180077,0.46723911137535284,True
0.9292951947438604,0.5200204204582662,0.6348293029499587,0.40267860292772706,0.4599982984063761,True
0.4473706938399069,-0.38970514915189275,0.27135694950467204,0.15936220783935473,0.4253137471210632,False
0.28495065579168255,0.5199079510485253,0.5562539121444772,0.41828420785277665,0.46102625086257,True
0.4349072416248274,-1.1872264158983382e-06,0.3601627423389311,0.16544044534627322,0.4763741795936235,False
-0.06480198556140704,0.47999765447481607,0.40472365212933686,-0.3819191316183521,-0.486118904269969,True
-0.3488306449212444,0.47995755024201675,0.36,-0.4216642867098732,-0.465289924778988,True
-0.12071078823038106,0.4799645257953492,0.3599999468766649,-0.44079046199657634,-0.4722948477097564,True
