v6,Clique_v6,ICI_v6,SHAP_v6,LIME_v6,z
-0.27231399463378403,0.84739596,2.409860514601931,-0.2520257179839725,-0.3842385848860356,0
0.07063414390224071,-0.13625385,4.747315372746208,0.21448731541736646,0.5782504628123036,0
1.6237951527671315,-1.0366719,3.35028343471842,1.5142465753289407,2.508959465845609,1
-0.16461365443622059,-0.033642977,4.168025934781868,0.04065773658421571,-0.21317749144357523,1
1.3674378390160007,-1.4307424,7.254547902940966,1.1623879159376775,2.399564085649717,1
-0.7250273120829074,1.5750759,3.532973135230989,-0.915666141790497,-2.52502952819288,0
0.6400713016263959,0.9175736,7.3178417473075426,0.7656574141981364,0.6102989766242166,1
-1.7190654547405468,-2.4685068,8.493136179317721,-2.927973778948523,-2.711998562016537,0
-1.2550980468574036,1.4705796,5.946434644843894,-1.994076175320822,-2.6313853856914533,0
0.1800908291361722,-0.22465475,4.918508121335903,0.24212673243569818,0.46736019374468646,0
0.9859234379588532,-0.8739859,1.8595880350190523,1.3945412659172978,2.2974462050874993,0
-1.1080051479073623,-1.5305897,5.200508717184787,-1.5645937868511033,-2.705945984001295,0
0.1285537967168944,0.13651282,2.9088485347089845,0.2568966682899126,0.9047295371433804,1
-0.7255532481743865,-1.1713482,2.825035241251802,-0.7819833200879496,-2.697170340354028,1
0.2747804627639705,-0.22563927,5.978049814228457,0.32382321888149346,0.5516621076838258,1
-0.6618546760906378,1.8978401,5.137302891801522,-1.0724915421360564,-0.46675316326849464,0
1.0267977728502917,0.11418972,-0.05006212008746935,1.11055673081314,2.4574528525663477,1
-0.9659750120183144,0.12675186,2.0816025176930735,-1.5249834357409615,-2.5815728799555195,0
-0.449680178382875,1.0662041,2.572905573976841,-0.7660995211041214,-0.47034412815636545,0
-0.6127942088463763,0.04289774,2.4596902135310996,-0.41337742945512923,-0.5813356343782861,1
0.19234828386172562,0.21059804,0.4288362994167773,0.3387391873319297,0.5863332916032734,1
-1.2300953515316757,2.843977,5.760955830146871,-2.385811302079303,-2.624693511345342,0
-0.8970226907487877,1.1501623,3.8796301718274213,-1.0071496723789777,-2.7215244871863757,1
0.37421208893406627,0.2792069,4.5540896217024365,0.657071532776992,0.5674013345473048,0
-1.0125178127739654,-1.0184239,3.6113402801284256,-1.3750376406741989,-2.613608252759654,0
-0.5738683089274309,1.2464412,2.645474358007277,-0.8997785336462055,-0.6795228866223012,0
