v1,LIME,SHAP,ICI,Clique
0.51008808,0.856601418,0.346583826,0.544342562,0.036016949
0.526269416,0.872034716,0.379827406,0.583516857,0.024090076
0.515140446,0.868687497,0.315982924,0.58971943,0.026374113
0.442054494,0.842644928,0.331454218,0.543758257,0.039207238
0.49325023,0.853685751,0.352090311,0.515781788,0.027053615
0.541440562,0.852824469,0.375955328,0.513072813,0.051624846
0.467367345,0.880952974,0.369924032,0.532328755,0.055865922
0.475236319,0.840014682,0.348480121,0.482697212,0.039406208
0.49631823,0.871843003,0.399929855,0.579474967,0.028787879
0.494973859,0.869911751,0.382591306,0.577484816,0.046052632
0.537600575,0.864485918,0.323116712,0.5816041,0.043018173
0.513292992,0.87868138,0.318055106,0.561321073,0.052008457
0.485477143,0.899325258,0.405949407,0.524967626,0.055125725
0.474719192,0.845773299,0.34364881,0.535003287,0.046955624
0.46398045,0.861314145,0.355785024,0.518799408,0.015500628
0.534751546,0.823692595,0.346995327,0.541788496,0.05
0.450728642,0.86173529,0.367983585,0.561475616,0.032535885
0.469873404,0.875462105,0.387035372,0.531975837,0.042297856
0.503864446,0.879255537,0.324321704,0.497741473,0.066694987
0.479808873,0.807648912,0.319069453,0.503409885,0.029294032
0.535947778,0.840226134,0.31736012,0.545449571,0.021432945
0.523254647,0.895108248,0.309996659,0.441409678,0.020048309
0.498123321,0.879209934,0.35534037,0.495706241,0.044168209
0.504672064,0.804604535,0.338104581,0.487537997,0.014525994
0.484153813,0.857730441,0.38062322,0.543188166,0.044834308
0.489940493,0.889331705,0.421118264,0.505007759,0.040935673
0.481868768,0.868971132,0.354232123,0.521289921,0.026943005
0.486341434,0.851573691,0.359911301,0.449939322,0.048863636
0.537662471,0.876775725,0.332524598,0.509104679,0.033695652
0.477018445,0.868623301,0.332405718,0.521269344,0.018181818
0.504009118,0.857543583,0.288623293,0.478846994,0.065898217
0.479550315,0.866819217,0.418908914,0.481243839,0.01426377
0.512310817,0.88685778,0.387280348,0.573396517,0.042270531
0.477363926,0.88362471,0.387991669,0.567059202,0.036609337
0.523604009,0.871909581,0.378731351,0.513094586,0.043478261
0.481964903,0.84123561,0.354690112,0.503364936,0.019861211
0.492866049,0.89523545,0.409343478,0.572841566,0.058106576
0.508201792,0.870987279,0.335739231,0.493797486,0.021542439
0.492816357,0.898159901,0.344971082,0.565158234,0.057936508
0.4917424,0.847885538,0.366333351,0.550859452,0.017492711
0.486528064,0.890926116,0.352345391,0.538130777,0.039676883
0.491427064,0.883939964,0.288895791,0.548469458,0.045679568
0.481416044,0.893602491,0.387914983,0.514997434,0.040594499
0.52995643,0.874256331,0.392520724,0.538080578,0.029843893
0.491606145,0.888733428,0.398338611,0.478635974,0.04326087
0.507400008,0.888387707,0.381884548,0.538834295,0.023658537
0.513390794,0.865972286,0.340937281,0.520762091,0.032763239
0.473607507,0.869721393,0.389549618,0.557643317,0.037393162
0.49647893,0.854330682,0.326303326,0.477552013,0.018668831
0.541549628,0.875504552,0.3918253,0.526275027,0.054100367
